region,Year,quantile,lag,Estimate,STA,STA_cor,STA_cor_p,SPI,SPI_cor,SPI_cor_p
"a. Pacific 
Northwest",1988,90,lag_2,1.51393537096406,-0.847033489928082,0.382683344252227,0.02,-0.129391933614227,-0.179605197910766,0.29
"a. Pacific 
Northwest",1989,10,lag_0,0.687493618716894,-0.602351130918993,-0.196486014597303,0.24,-0.351480915853,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1989,10,lag_1,0.687493618716894,0.0379892884234035,-0.148174357518156,0.38,-0.866120013466919,0.362425254128277,0.03
"a. Pacific 
Northwest",1989,10,lag_2,0.687493618716894,0.862456907175062,-0.110232893677887,0.52,-1.0547193590486,0.183847222182792,0.28
"a. Pacific 
Northwest",1989,50,lag_0,1.39697202542976,-0.602351130918993,-0.212817945041297,0.21,-0.351480915853,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1989,50,lag_1,1.39697202542976,0.0379892884234035,-0.0646420011291659,0.7,-0.866120013466919,0.35537103061443,0.03
"a. Pacific 
Northwest",1989,50,lag_2,1.39697202542976,0.862456907175062,0.127243669088036,0.45,-1.0547193590486,0.0624946668179992,0.71
"a. Pacific 
Northwest",1989,90,lag_0,1.63390580022211,-0.602351130918993,0.230868561222735,0.17,-0.351480915853,-0.190836836504165,0.26
"a. Pacific 
Northwest",1989,90,lag_1,1.63390580022211,0.0379892884234035,0.0134538875233324,0.94,-0.866120013466919,0.165476926473206,0.33
"a. Pacific 
Northwest",1989,90,lag_2,1.63390580022211,0.862456907175062,0.382683344252227,0.02,-1.0547193590486,-0.179605197910766,0.29
"a. Pacific 
Northwest",1990,10,lag_0,0.750431902082657,0.52258773737588,-0.196486014597303,0.24,-0.277081393441116,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1990,10,lag_1,0.750431902082657,-0.602351130918993,-0.148174357518156,0.38,-0.351480915853,0.362425254128277,0.03
"a. Pacific 
Northwest",1990,10,lag_2,0.750431902082657,0.0379892884234035,-0.110232893677887,0.52,-0.866120013466919,0.183847222182792,0.28
"a. Pacific 
Northwest",1990,50,lag_0,1.40067254659774,0.52258773737588,-0.212817945041297,0.21,-0.277081393441116,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1990,50,lag_1,1.40067254659774,-0.602351130918993,-0.0646420011291659,0.7,-0.351480915853,0.35537103061443,0.03
"a. Pacific 
Northwest",1990,50,lag_2,1.40067254659774,0.0379892884234035,0.127243669088036,0.45,-0.866120013466919,0.0624946668179992,0.71
"a. Pacific 
Northwest",1990,90,lag_0,1.5399862676529,0.52258773737588,0.230868561222735,0.17,-0.277081393441116,-0.190836836504165,0.26
"a. Pacific 
Northwest",1990,90,lag_1,1.5399862676529,-0.602351130918993,0.0134538875233324,0.94,-0.351480915853,0.165476926473206,0.33
"a. Pacific 
Northwest",1990,90,lag_2,1.5399862676529,0.0379892884234035,0.382683344252227,0.02,-0.866120013466919,-0.179605197910766,0.29
"a. Pacific 
Northwest",1991,10,lag_0,0.729668542459296,-1.11554087487203,-0.196486014597303,0.24,0.209883043592004,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1991,10,lag_1,0.729668542459296,0.52258773737588,-0.148174357518156,0.38,-0.277081393441116,0.362425254128277,0.03
"a. Pacific 
Northwest",1991,10,lag_2,0.729668542459296,-0.602351130918993,-0.110232893677887,0.52,-0.351480915853,0.183847222182792,0.28
"a. Pacific 
Northwest",1991,50,lag_0,1.39836261920267,-1.11554087487203,-0.212817945041297,0.21,0.209883043592004,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1991,50,lag_1,1.39836261920267,0.52258773737588,-0.0646420011291659,0.7,-0.277081393441116,0.35537103061443,0.03
"a. Pacific 
Northwest",1991,50,lag_2,1.39836261920267,-0.602351130918993,0.127243669088036,0.45,-0.351480915853,0.0624946668179992,0.71
"a. Pacific 
Northwest",1991,90,lag_0,1.53212878695126,-1.11554087487203,0.230868561222735,0.17,0.209883043592004,-0.190836836504165,0.26
"a. Pacific 
Northwest",1991,90,lag_1,1.53212878695126,0.52258773737588,0.0134538875233324,0.94,-0.277081393441116,0.165476926473206,0.33
"a. Pacific 
Northwest",1991,90,lag_2,1.53212878695126,-0.602351130918993,0.382683344252227,0.02,-0.351480915853,-0.179605197910766,0.29
"a. Pacific 
Northwest",1992,10,lag_0,0.663386822272401,2.09514493941979,-0.196486014597303,0.24,-1.17062380122055,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1992,10,lag_1,0.663386822272401,-1.11554087487203,-0.148174357518156,0.38,0.209883043592004,0.362425254128277,0.03
"a. Pacific 
Northwest",1992,10,lag_2,0.663386822272401,0.52258773737588,-0.110232893677887,0.52,-0.277081393441116,0.183847222182792,0.28
"a. Pacific 
Northwest",1992,50,lag_0,1.30962323248394,2.09514493941979,-0.212817945041297,0.21,-1.17062380122055,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1992,50,lag_1,1.30962323248394,-1.11554087487203,-0.0646420011291659,0.7,0.209883043592004,0.35537103061443,0.03
"a. Pacific 
Northwest",1992,50,lag_2,1.30962323248394,0.52258773737588,0.127243669088036,0.45,-0.277081393441116,0.0624946668179992,0.71
"a. Pacific 
Northwest",1992,90,lag_0,1.53401290859605,2.09514493941979,0.230868561222735,0.17,-1.17062380122055,-0.190836836504165,0.26
"a. Pacific 
Northwest",1992,90,lag_1,1.53401290859605,-1.11554087487203,0.0134538875233324,0.94,0.209883043592004,0.165476926473206,0.33
"a. Pacific 
Northwest",1992,90,lag_2,1.53401290859605,0.52258773737588,0.382683344252227,0.02,-0.277081393441116,-0.179605197910766,0.29
"a. Pacific 
Northwest",1993,10,lag_0,0.731110082010475,-1.19015622740358,-0.196486014597303,0.24,-0.307059437602553,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1993,10,lag_1,0.731110082010475,2.09514493941979,-0.148174357518156,0.38,-1.17062380122055,0.362425254128277,0.03
"a. Pacific 
Northwest",1993,10,lag_2,0.731110082010475,-1.11554087487203,-0.110232893677887,0.52,0.209883043592004,0.183847222182792,0.28
"a. Pacific 
Northwest",1993,50,lag_0,1.44260208396668,-1.19015622740358,-0.212817945041297,0.21,-0.307059437602553,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1993,50,lag_1,1.44260208396668,2.09514493941979,-0.0646420011291659,0.7,-1.17062380122055,0.35537103061443,0.03
"a. Pacific 
Northwest",1993,50,lag_2,1.44260208396668,-1.11554087487203,0.127243669088036,0.45,0.209883043592004,0.0624946668179992,0.71
"a. Pacific 
Northwest",1993,90,lag_0,1.56192667580516,-1.19015622740358,0.230868561222735,0.17,-0.307059437602553,-0.190836836504165,0.26
"a. Pacific 
Northwest",1993,90,lag_1,1.56192667580516,2.09514493941979,0.0134538875233324,0.94,-1.17062380122055,0.165476926473206,0.33
"a. Pacific 
Northwest",1993,90,lag_2,1.56192667580516,-1.11554087487203,0.382683344252227,0.02,0.209883043592004,-0.179605197910766,0.29
"a. Pacific 
Northwest",1994,10,lag_0,0.732679306862711,0.567022504424078,-0.196486014597303,0.24,-1.77868053024562,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1994,10,lag_1,0.732679306862711,-1.19015622740358,-0.148174357518156,0.38,-0.307059437602553,0.362425254128277,0.03
"a. Pacific 
Northwest",1994,10,lag_2,0.732679306862711,2.09514493941979,-0.110232893677887,0.52,-1.17062380122055,0.183847222182792,0.28
"a. Pacific 
Northwest",1994,50,lag_0,1.40132818041132,0.567022504424078,-0.212817945041297,0.21,-1.77868053024562,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1994,50,lag_1,1.40132818041132,-1.19015622740358,-0.0646420011291659,0.7,-0.307059437602553,0.35537103061443,0.03
"a. Pacific 
Northwest",1994,50,lag_2,1.40132818041132,2.09514493941979,0.127243669088036,0.45,-1.17062380122055,0.0624946668179992,0.71
"a. Pacific 
Northwest",1994,90,lag_0,1.60959817920107,0.567022504424078,0.230868561222735,0.17,-1.77868053024562,-0.190836836504165,0.26
"a. Pacific 
Northwest",1994,90,lag_1,1.60959817920107,-1.19015622740358,0.0134538875233324,0.94,-0.307059437602553,0.165476926473206,0.33
"a. Pacific 
Northwest",1994,90,lag_2,1.60959817920107,2.09514493941979,0.382683344252227,0.02,-1.17062380122055,-0.179605197910766,0.29
"a. Pacific 
Northwest",1995,10,lag_0,0.6619725730451,-0.508453211851693,-0.196486014597303,0.24,0.81779869774736,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1995,10,lag_1,0.6619725730451,0.567022504424078,-0.148174357518156,0.38,-1.77868053024562,0.362425254128277,0.03
"a. Pacific 
Northwest",1995,10,lag_2,0.6619725730451,-1.19015622740358,-0.110232893677887,0.52,-0.307059437602553,0.183847222182792,0.28
"a. Pacific 
Northwest",1995,50,lag_0,1.38720438330606,-0.508453211851693,-0.212817945041297,0.21,0.81779869774736,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1995,50,lag_1,1.38720438330606,0.567022504424078,-0.0646420011291659,0.7,-1.77868053024562,0.35537103061443,0.03
"a. Pacific 
Northwest",1995,50,lag_2,1.38720438330606,-1.19015622740358,0.127243669088036,0.45,-0.307059437602553,0.0624946668179992,0.71
"a. Pacific 
Northwest",1995,90,lag_0,1.50376200746175,-0.508453211851693,0.230868561222735,0.17,0.81779869774736,-0.190836836504165,0.26
"a. Pacific 
Northwest",1995,90,lag_1,1.50376200746175,0.567022504424078,0.0134538875233324,0.94,-1.77868053024562,0.165476926473206,0.33
"a. Pacific 
Northwest",1995,90,lag_2,1.50376200746175,-1.19015622740358,0.382683344252227,0.02,-0.307059437602553,-0.179605197910766,0.29
"a. Pacific 
Northwest",1996,10,lag_0,0.71935955115061,0.0453260677764611,-0.196486014597303,0.24,1.84099792129922,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1996,10,lag_1,0.71935955115061,-0.508453211851693,-0.148174357518156,0.38,0.81779869774736,0.362425254128277,0.03
"a. Pacific 
Northwest",1996,10,lag_2,0.71935955115061,0.567022504424078,-0.110232893677887,0.52,-1.77868053024562,0.183847222182792,0.28
"a. Pacific 
Northwest",1996,50,lag_0,1.38076200025373,0.0453260677764611,-0.212817945041297,0.21,1.84099792129922,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1996,50,lag_1,1.38076200025373,-0.508453211851693,-0.0646420011291659,0.7,0.81779869774736,0.35537103061443,0.03
"a. Pacific 
Northwest",1996,50,lag_2,1.38076200025373,0.567022504424078,0.127243669088036,0.45,-1.77868053024562,0.0624946668179992,0.71
"a. Pacific 
Northwest",1996,90,lag_0,1.56738549143848,0.0453260677764611,0.230868561222735,0.17,1.84099792129922,-0.190836836504165,0.26
"a. Pacific 
Northwest",1996,90,lag_1,1.56738549143848,-0.508453211851693,0.0134538875233324,0.94,0.81779869774736,0.165476926473206,0.33
"a. Pacific 
Northwest",1996,90,lag_2,1.56738549143848,0.567022504424078,0.382683344252227,0.02,-1.77868053024562,-0.179605197910766,0.29
"a. Pacific 
Northwest",1997,10,lag_0,0.76242484722926,-0.207182901981454,-0.196486014597303,0.24,2.55894008173565,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1997,10,lag_1,0.76242484722926,0.0453260677764611,-0.148174357518156,0.38,1.84099792129922,0.362425254128277,0.03
"a. Pacific 
Northwest",1997,10,lag_2,0.76242484722926,-0.508453211851693,-0.110232893677887,0.52,0.81779869774736,0.183847222182792,0.28
"a. Pacific 
Northwest",1997,50,lag_0,1.36482432445335,-0.207182901981454,-0.212817945041297,0.21,2.55894008173565,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1997,50,lag_1,1.36482432445335,0.0453260677764611,-0.0646420011291659,0.7,1.84099792129922,0.35537103061443,0.03
"a. Pacific 
Northwest",1997,50,lag_2,1.36482432445335,-0.508453211851693,0.127243669088036,0.45,0.81779869774736,0.0624946668179992,0.71
"a. Pacific 
Northwest",1997,90,lag_0,1.50377338049076,-0.207182901981454,0.230868561222735,0.17,2.55894008173565,-0.190836836504165,0.26
"a. Pacific 
Northwest",1997,90,lag_1,1.50377338049076,0.0453260677764611,0.0134538875233324,0.94,1.84099792129922,0.165476926473206,0.33
"a. Pacific 
Northwest",1997,90,lag_2,1.50377338049076,-0.508453211851693,0.382683344252227,0.02,0.81779869774736,-0.179605197910766,0.29
"a. Pacific 
Northwest",1998,10,lag_0,0.761527814771282,0.471277091398387,-0.196486014597303,0.24,-0.154235949273277,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1998,10,lag_1,0.761527814771282,-0.207182901981454,-0.148174357518156,0.38,2.55894008173565,0.362425254128277,0.03
"a. Pacific 
Northwest",1998,10,lag_2,0.761527814771282,0.0453260677764611,-0.110232893677887,0.52,1.84099792129922,0.183847222182792,0.28
"a. Pacific 
Northwest",1998,50,lag_0,1.53589397142977,0.471277091398387,-0.212817945041297,0.21,-0.154235949273277,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1998,50,lag_1,1.53589397142977,-0.207182901981454,-0.0646420011291659,0.7,2.55894008173565,0.35537103061443,0.03
"a. Pacific 
Northwest",1998,50,lag_2,1.53589397142977,0.0453260677764611,0.127243669088036,0.45,1.84099792129922,0.0624946668179992,0.71
"a. Pacific 
Northwest",1998,90,lag_0,1.660587655054,0.471277091398387,0.230868561222735,0.17,-0.154235949273277,-0.190836836504165,0.26
"a. Pacific 
Northwest",1998,90,lag_1,1.660587655054,-0.207182901981454,0.0134538875233324,0.94,2.55894008173565,0.165476926473206,0.33
"a. Pacific 
Northwest",1998,90,lag_2,1.660587655054,0.0453260677764611,0.382683344252227,0.02,1.84099792129922,-0.179605197910766,0.29
"a. Pacific 
Northwest",1999,10,lag_0,0.698820240777956,-1.38392890853729,-0.196486014597303,0.24,1.61129374204782,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1999,10,lag_1,0.698820240777956,0.471277091398387,-0.148174357518156,0.38,-0.154235949273277,0.362425254128277,0.03
"a. Pacific 
Northwest",1999,10,lag_2,0.698820240777956,-0.207182901981454,-0.110232893677887,0.52,2.55894008173565,0.183847222182792,0.28
"a. Pacific 
Northwest",1999,50,lag_0,1.39022561476688,-1.38392890853729,-0.212817945041297,0.21,1.61129374204782,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1999,50,lag_1,1.39022561476688,0.471277091398387,-0.0646420011291659,0.7,-0.154235949273277,0.35537103061443,0.03
"a. Pacific 
Northwest",1999,50,lag_2,1.39022561476688,-0.207182901981454,0.127243669088036,0.45,2.55894008173565,0.0624946668179992,0.71
"a. Pacific 
Northwest",1999,90,lag_0,1.58481773798221,-1.38392890853729,0.230868561222735,0.17,1.61129374204782,-0.190836836504165,0.26
"a. Pacific 
Northwest",1999,90,lag_1,1.58481773798221,0.471277091398387,0.0134538875233324,0.94,-0.154235949273277,0.165476926473206,0.33
"a. Pacific 
Northwest",1999,90,lag_2,1.58481773798221,-0.207182901981454,0.382683344252227,0.02,2.55894008173565,-0.179605197910766,0.29
"a. Pacific 
Northwest",2000,10,lag_0,0.722166172419008,0.103656986790618,-0.196486014597303,0.24,0.1711342176216,-0.0884220362288098,0.6
"a. Pacific 
Northwest",2000,10,lag_1,0.722166172419008,-1.38392890853729,-0.148174357518156,0.38,1.61129374204782,0.362425254128277,0.03
"a. Pacific 
Northwest",2000,10,lag_2,0.722166172419008,0.471277091398387,-0.110232893677887,0.52,-0.154235949273277,0.183847222182792,0.28
"a. Pacific 
Northwest",2000,50,lag_0,1.43253288038501,0.103656986790618,-0.212817945041297,0.21,0.1711342176216,-0.0120872302553006,0.94
"a. Pacific 
Northwest",2000,50,lag_1,1.43253288038501,-1.38392890853729,-0.0646420011291659,0.7,1.61129374204782,0.35537103061443,0.03
"a. Pacific 
Northwest",2000,50,lag_2,1.43253288038501,0.471277091398387,0.127243669088036,0.45,-0.154235949273277,0.0624946668179992,0.71
"a. Pacific 
Northwest",2000,90,lag_0,1.59808210149695,0.103656986790618,0.230868561222735,0.17,0.1711342176216,-0.190836836504165,0.26
"a. Pacific 
Northwest",2000,90,lag_1,1.59808210149695,-1.38392890853729,0.0134538875233324,0.94,1.61129374204782,0.165476926473206,0.33
"a. Pacific 
Northwest",2000,90,lag_2,1.59808210149695,0.471277091398387,0.382683344252227,0.02,-0.154235949273277,-0.179605197910766,0.29
"a. Pacific 
Northwest",2001,10,lag_0,0.785670422449971,-0.512006554269666,-0.196486014597303,0.24,-2.20972672507778,-0.0884220362288098,0.6
"a. Pacific 
Northwest",2001,10,lag_1,0.785670422449971,0.103656986790618,-0.148174357518156,0.38,0.1711342176216,0.362425254128277,0.03
"a. Pacific 
Northwest",2001,10,lag_2,0.785670422449971,-1.38392890853729,-0.110232893677887,0.52,1.61129374204782,0.183847222182792,0.28
"a. Pacific 
Northwest",2001,50,lag_0,1.42072956316003,-0.512006554269666,-0.212817945041297,0.21,-2.20972672507778,-0.0120872302553006,0.94
"a. Pacific 
Northwest",2001,50,lag_1,1.42072956316003,0.103656986790618,-0.0646420011291659,0.7,0.1711342176216,0.35537103061443,0.03
"a. Pacific 
Northwest",2001,50,lag_2,1.42072956316003,-1.38392890853729,0.127243669088036,0.45,1.61129374204782,0.0624946668179992,0.71
"a. Pacific 
Northwest",2001,90,lag_0,1.56370225289651,-0.512006554269666,0.230868561222735,0.17,-2.20972672507778,-0.190836836504165,0.26
"a. Pacific 
Northwest",2001,90,lag_1,1.56370225289651,0.103656986790618,0.0134538875233324,0.94,0.1711342176216,0.165476926473206,0.33
"a. Pacific 
Northwest",2001,90,lag_2,1.56370225289651,-1.38392890853729,0.382683344252227,0.02,1.61129374204782,-0.179605197910766,0.29
"a. Pacific 
Northwest",2002,10,lag_0,0.618812679548601,-0.330380052393726,-0.196486014597303,0.24,0.354555599504646,-0.0884220362288098,0.6
"a. Pacific 
Northwest",2002,10,lag_1,0.618812679548601,-0.512006554269666,-0.148174357518156,0.38,-2.20972672507778,0.362425254128277,0.03
"a. Pacific 
Northwest",2002,10,lag_2,0.618812679548601,0.103656986790618,-0.110232893677887,0.52,0.1711342176216,0.183847222182792,0.28
"a. Pacific 
Northwest",2002,50,lag_0,1.38646978675729,-0.330380052393726,-0.212817945041297,0.21,0.354555599504646,-0.0120872302553006,0.94
"a. Pacific 
Northwest",2002,50,lag_1,1.38646978675729,-0.512006554269666,-0.0646420011291659,0.7,-2.20972672507778,0.35537103061443,0.03
"a. Pacific 
Northwest",2002,50,lag_2,1.38646978675729,0.103656986790618,0.127243669088036,0.45,0.1711342176216,0.0624946668179992,0.71
"a. Pacific 
Northwest",2002,90,lag_0,1.60396394131498,-0.330380052393726,0.230868561222735,0.17,0.354555599504646,-0.190836836504165,0.26
"a. Pacific 
Northwest",2002,90,lag_1,1.60396394131498,-0.512006554269666,0.0134538875233324,0.94,-2.20972672507778,0.165476926473206,0.33
"a. Pacific 
Northwest",2002,90,lag_2,1.60396394131498,0.103656986790618,0.382683344252227,0.02,0.1711342176216,-0.179605197910766,0.29
"a. Pacific 
Northwest",2003,10,lag_0,0.63787777033065,1.28591109902981,-0.196486014597303,0.24,-0.591833735523851,-0.0884220362288098,0.6
"a. Pacific 
Northwest",2003,10,lag_1,0.63787777033065,-0.330380052393726,-0.148174357518156,0.38,0.354555599504646,0.362425254128277,0.03
"a. Pacific 
Northwest",2003,10,lag_2,0.63787777033065,-0.512006554269666,-0.110232893677887,0.52,-2.20972672507778,0.183847222182792,0.28
"a. Pacific 
Northwest",2003,50,lag_0,1.35564905398762,1.28591109902981,-0.212817945041297,0.21,-0.591833735523851,-0.0120872302553006,0.94
"a. Pacific 
Northwest",2003,50,lag_1,1.35564905398762,-0.330380052393726,-0.0646420011291659,0.7,0.354555599504646,0.35537103061443,0.03
"a. Pacific 
Northwest",2003,50,lag_2,1.35564905398762,-0.512006554269666,0.127243669088036,0.45,-2.20972672507778,0.0624946668179992,0.71
"a. Pacific 
Northwest",2003,90,lag_0,1.66250999260653,1.28591109902981,0.230868561222735,0.17,-0.591833735523851,-0.190836836504165,0.26
"a. Pacific 
Northwest",2003,90,lag_1,1.66250999260653,-0.330380052393726,0.0134538875233324,0.94,0.354555599504646,0.165476926473206,0.33
"a. Pacific 
Northwest",2003,90,lag_2,1.66250999260653,-0.512006554269666,0.382683344252227,0.02,-2.20972672507778,-0.179605197910766,0.29
"a. Pacific 
Northwest",2004,10,lag_0,0.776221560676892,0.809968106582097,-0.196486014597303,0.24,0.071750846311777,-0.0884220362288098,0.6
"a. Pacific 
Northwest",2004,10,lag_1,0.776221560676892,1.28591109902981,-0.148174357518156,0.38,-0.591833735523851,0.362425254128277,0.03
"a. Pacific 
Northwest",2004,10,lag_2,0.776221560676892,-0.330380052393726,-0.110232893677887,0.52,0.354555599504646,0.183847222182792,0.28
"a. Pacific 
Northwest",2004,50,lag_0,1.37831777241105,0.809968106582097,-0.212817945041297,0.21,0.071750846311777,-0.0120872302553006,0.94
"a. Pacific 
Northwest",2004,50,lag_1,1.37831777241105,1.28591109902981,-0.0646420011291659,0.7,-0.591833735523851,0.35537103061443,0.03
